Second,RPM,Battery,Flow
0,75,74,100
1,72,73,101
2,75,73,101
3,78,73,101
4,75,73,101
5,72,73,102
6,72,73,102
7,72,73,102
8,69,73,101
9,66,73,100
10,63,73,99
11,66,73,100
12,63,73,99
13,63,73,98
14,66,73,97
15,66,73,96
16,69,73,96
17,66,73,96
18,66,73,95
19,63,73,96
20,60,73,95
21,60,73,95
22,63,73,95
23,63,73,95
24,60,73,95
25,60,73,95
26,60,73,95
27,63,73,96
28,66,73,97
29,66,73,97
30,63,73,97
31,63,73,96
32,66,73,96
33,66,73,95
34,69,73,95
35,69,73,96
36,69,73,95
37,66,72,95
38,69,72,96
39,66,72,95
40,66,72,95
41,66,72,96
42,63,72,95
43,60,72,96
44,63,72,97
45,63,72,97
46,60,72,98
47,63,72,98
48,63,72,97
49,60,72,98
50,60,72,99
51,63,72,100
52,60,72,99
53,63,72,99
54,63,72,100
55,60,72,101
56,63,72,101
57,60,72,100
58,60,72,101
59,60,72,102
60,60,72,101
61,60,72,101
62,60,72,102
63,60,72,103
64,63,72,102
65,63,72,102
66,63,72,101
67,63,72,100
68,66,72,100
69,69,72,100
70,69,72,99
71,66,72,100
72,66,72,101
73,66,71,101
74,66,71,100
75,69,71,99
76,69,71,99
77,72,71,98
78,72,71,98
79,72,71,98
80,72,71,97
81,69,71,97
82,66,71,97
83,69,71,97
84,69,71,96
85,66,71,96
86,63,71,95
87,60,71,96
88,60,71,95
89,60,71,95
90,60,71,95
91,60,71,96
92,60,71,96
93,60,71,97
94,60,71,97
95,63,71,97
96,60,71,97
97,60,71,96
98,60,71,97
99,60,71,98
100,60,71,97
101,60,71,97
102,60,71,96
103,60,71,95
104,60,71,96
105,60,71,97
106,63,71,98
107,60,71,99
108,63,71,100
109,66,70,99
110,69,70,100
111,69,70,99
112,72,70,100
113,72,70,101
114,69,70,101
115,66,70,100
116,66,70,101
117,63,70,100
118,60,70,101
119,60,70,102
120,60,70,102
121,60,70,103
122,60,70,102
123,63,70,103
124,60,70,102
125,60,70,103
126,60,70,103
127,60,70,103
128,60,70,104
129,60,70,104
130,63,70,105
131,63,70,105
132,63,70,104
133,60,70,105
134,60,70,105
135,60,70,104
136,60,70,105
137,60,70,104
138,60,70,105
139,63,70,104
140,60,70,103
141,60,70,104
142,60,70,103
143,60,70,104
144,60,70,105
145,63,69,105
146,63,69,104
147,66,69,104
148,66,69,103
149,63,69,102
150,60,69,103
151,60,69,103
152,60,69,103
153,60,69,102
154,60,69,102
155,63,69,103
156,60,69,102
157,60,69,101
158,60,69,101
159,60,69,101
160,63,69,100
161,66,69,101
162,66,69,101
163,66,69,101
164,69,69,102
165,72,69,101
166,75,69,100
167,72,69,100
168,72,69,101
169,72,69,102
170,72,69,103
171,75,69,104
172,72,69,105
173,75,69,104
174,75,69,104
175,72,69,105
176,72,69,105
177,69,69,105
178,66,69,104
179,63,69,103
