time(s),RPM,Battery,Flow Rate,Blood Pressure
0,87,75,100,87
1,84,74,99,88
2,81,74,98,87
3,84,74,98,86
4,87,74,99,86
5,87,74,100,85
6,87,74,101,85
7,87,74,100,85
8,90,74,100,85
9,90,74,99,85
10,87,74,100,85
11,87,74,100,86
12,84,74,99,87
13,84,74,98,88
14,81,74,98,88
15,81,74,99,88
16,78,74,98,88
17,75,74,99,89
18,78,74,100,90
19,75,74,99,90
20,75,74,99,91
21,78,74,98,91
22,75,74,97,90
23,78,74,96,91
24,78,74,95,91
25,75,74,95,90
26,78,74,96,90
27,78,74,95,90
28,75,74,96,91
29,75,74,97,90
30,72,74,97,90
31,72,74,98,91
32,69,74,98,91
33,66,74,99,92
34,66,74,98,92
35,69,74,97,93
36,72,74,97,94
37,69,73,98,95
38,66,73,97,94
39,66,73,96,94
40,66,73,95,94
41,69,73,96,94
42,72,73,97,93
43,72,73,98,93
44,69,73,97,92
45,66,73,97,92
46,69,73,97,93
47,69,73,98,93
48,72,73,97,94
49,75,73,97,93
50,78,73,97,94
51,75,73,98,95
52,75,73,98,96
53,75,73,99,95
54,72,73,99,95
55,75,73,98,96
56,72,73,98,96
57,75,73,98,97
58,72,73,99,97
59,75,73,99,97
60,78,73,100,97
61,75,73,99,97
62,78,73,98,97
63,75,73,97,96
64,75,73,98,96
65,78,73,99,96
66,81,73,99,95
67,81,73,100,95
68,78,73,99,96
69,75,73,100,95
70,75,73,99,96
71,72,73,98,96
72,75,73,99,96
73,78,72,98,95
74,75,72,97,95
75,78,72,98,96
76,75,72,97,95
77,78,72,97,96
78,81,72,96,96
79,78,72,95,97
80,75,72,95,98
81,78,72,95,97
82,78,72,95,96
83,75,72,96,95
84,75,72,95,94
85,72,72,95,93
86,69,72,95,92
87,69,72,95,93
88,66,72,95,93
89,63,72,95,93
90,60,72,96,92
91,63,72,96,93
92,63,72,97,94
93,60,72,98,95
94,60,72,97,94
95,60,72,96,94
96,60,72,96,94
97,63,72,96,94
98,63,72,96,94
99,63,72,95,94
100,60,72,95,93
101,60,72,95,94
102,60,72,95,94
103,60,72,95,95
104,63,72,95,94
105,60,72,95,94
106,60,72,95,95
107,60,72,95,94
108,63,72,95,93
109,60,71,95,93
110,60,71,95,94
111,60,71,96,93
112,63,71,97,92
113,66,71,96,92
114,63,71,95,93
115,60,71,96,93
116,60,71,97,94
117,63,71,96,95
118,63,71,95,94
119,66,71,95,94
120,63,71,96,93
121,66,71,95,94
122,66,71,96,95
123,63,71,95,96
124,66,71,95,96
125,69,71,95,95
126,66,71,95,96
127,66,71,96,97
128,63,71,97,98
129,66,71,97,99
130,69,71,96,100
131,66,71,96,99
132,69,71,95,99
133,72,71,95,100
134,72,71,96,100
135,69,71,95,99
136,72,71,96,99
137,75,71,95,98
138,72,71,96,99
139,72,71,95,98
140,72,71,95,99
141,72,71,95,100
142,72,71,95,99
143,69,71,95,99
144,66,71,96,98
145,69,70,97,99
146,66,70,97,100
147,63,70,98,101
148,66,70,97,102
149,66,70,98,103
150,69,70,98,102
151,69,70,99,101
152,69,70,100,100
153,66,70,99,100
154,63,70,100,101
155,60,70,100,100
156,60,70,100,100
157,63,70,99,100
158,63,70,99,99
159,63,70,98,100
160,63,70,99,100
161,66,70,99,100
162,63,70,98,100
163,63,70,97,100
164,63,70,96,100
165,66,70,95,101
166,69,70,96,101
167,72,70,97,101
168,69,70,97,100
169,72,70,97,100
170,69,70,96,100
171,72,70,95,100
172,72,70,95,101
173,69,70,96,100
174,66,70,97,99
175,63,70,96,98
176,66,70,97,97
177,69,70,96,98
178,72,70,97,97
179,69,70,98,97
