time(s),RPM,Battery,Flow Rate,Blood Pressure
0,71,92,100,100
1,71,91,99,113
2,68,91,100,83
3,68,91,101,90
4,65,91,100,82
5,62,91,99,100
6,62,91,99,114
7,62,91,98,113
8,62,91,98,116
9,62,91,99,92
10,65,91,98,111
11,62,91,97,88
12,62,91,98,83
13,62,91,98,115
14,65,91,97,85
15,68,91,98,96
16,65,91,98,103
17,62,91,98,99
18,62,91,99,97
19,62,91,98,117
20,62,91,97,88
21,62,91,97,120
22,62,91,96,102
23,62,91,97,110
24,62,91,98,103
25,65,91,99,88
26,65,91,98,100
27,62,91,98,96
28,62,91,98,95
29,65,91,97,117
30,62,91,96,102
31,62,91,95,81
32,62,91,95,86
33,62,91,95,105
34,65,91,95,120
35,65,91,95,98
36,68,91,95,114
37,71,90,95,91
38,68,90,95,96
39,68,90,96,93
40,65,90,95,84
41,62,90,95,113
42,65,90,95,116
43,65,90,96,98
44,62,90,95,106
45,65,90,95,89
46,62,90,95,113
47,62,90,95,112
48,65,90,95,80
49,68,90,95,107
50,65,90,95,114
51,68,90,95,101
52,65,90,95,97
53,65,90,96,106
54,65,90,96,115
55,68,90,96,112
56,68,90,96,87
57,65,90,95,104
58,62,90,96,115
59,65,90,95,114
60,68,90,96,102
61,65,90,96,87
62,65,90,95,97
63,62,90,95,92
64,62,90,95,111
65,62,90,95,85
66,65,90,96,118
67,65,90,95,96
68,65,90,95,107
69,62,90,95,116
70,62,90,95,93
71,65,90,95,105
72,68,90,95,103
73,71,89,96,87
74,68,89,95,84
75,68,89,96,115
76,65,89,96,103
77,65,89,97,97
78,65,89,96,101
79,68,89,97,88
80,71,89,97,119
81,74,89,97,115
82,74,89,97,117
83,74,89,96,97
84,74,89,97,110
85,71,89,97,91
86,71,89,97,91
87,68,89,98,105
88,71,89,98,102
89,71,89,97,112
90,71,89,98,109
91,71,89,98,106
92,71,89,99,117
93,71,89,100,119
94,71,89,101,112
95,68,89,102,101
96,65,89,102,88
97,62,89,103,109
98,62,89,103,91
99,62,89,103,119
100,65,89,104,115
101,65,89,103,109
102,68,89,102,118
103,65,89,101,106
104,68,89,101,88
105,68,89,101,103
106,71,89,100,118
107,74,89,101,109
108,74,89,102,83
109,71,88,103,91
110,71,88,104,112
111,74,88,103,109
112,71,88,104,95
113,68,88,103,96
114,71,88,103,105
115,68,88,104,104
116,65,88,105,109
117,65,88,104,115
118,62,88,103,89
119,62,88,103,80
120,62,88,103,103
121,62,88,102,107
122,62,88,102,86
123,62,88,101,101
124,65,88,101,94
125,68,88,101,85
126,71,88,100,116
127,71,88,99,113
128,68,88,98,90
129,68,88,99,115
130,68,88,100,83
131,68,88,101,107
132,71,88,101,83
133,71,88,100,102
134,71,88,101,85
135,71,88,102,89
136,68,88,102,93
137,65,88,101,99
138,62,88,102,115
139,62,88,102,87
140,62,88,102,93
141,65,88,101,102
142,62,88,100,91
143,62,88,99,97
144,62,88,100,106
145,65,87,99,113
146,62,87,98,87
147,62,87,99,110
148,62,87,98,95
149,62,87,97,105
150,62,87,97,116
151,65,87,97,81
152,62,87,97,108
153,62,87,98,98
154,62,87,97,108
155,62,87,97,111
156,62,87,97,81
157,62,87,96,105
158,62,87,96,109
159,62,87,95,95
160,62,87,96,80
161,65,87,97,117
162,65,87,98,113
163,62,87,99,116
164,62,87,99,118
165,65,87,98,80
166,68,87,97,92
167,68,87,97,91
168,68,87,98,106
169,68,87,98,93
170,68,87,98,111
171,68,87,98,98
172,68,87,97,84
173,65,87,96,105
174,62,87,95,86
175,62,87,95,106
176,62,87,95,120
177,62,87,95,89
178,65,87,95,112
179,68,87,95,113
